epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,286.6,2.32958,3.49836,2.19589,1.5545,0.37051,0.03061,0.0487,0.02704,0.01807,0.02041,0.01756,0.00364,2.79491,4.00797,2.31375,1.54413,0.0085,0.0085,0.0085
87,290.18,2.4124,3.20173,2.13491,1.5241,0.37051,0.03061,0.0487,0.02704,0.01807,0.02041,0.01756,0.00364,2.79491,4.00797,2.31375,1.54413,0.0086,0.0086,0.0086
88,293.947,2.82664,3.72381,2.3144,1.80834,0.47841,0.02551,0.03404,0.01766,0.02333,0.07143,0.02223,0.00732,3.08794,3.78429,2.53775,1.71607,0.0087,0.0087,0.0087
89,297.887,2.12233,3.02465,2.14806,1.39676,0.47841,0.02551,0.03404,0.01766,0.02333,0.07143,0.02223,0.00732,3.08794,3.78429,2.53775,1.71607,0.0088,0.0088,0.0088
90,301.688,1.90258,3.26154,2.19888,1.42629,0.47841,0.02551,0.03404,0.01766,0.02333,0.07143,0.02223,0.00732,3.08794,3.78429,2.53775,1.71607,0.0089,0.0089,0.0089
91,305.728,2.3127,2.71649,1.85612,1.39142,0.47841,0.02551,0.03404,0.01766,0.02333,0.07143,0.02223,0.00732,3.08794,3.78429,2.53775,1.71607,0.009,0.009,0.009
92,309.429,2.01357,3.10895,2.20798,1.48374,0.23241,0.02551,0.03062,0.01402,0.16263,0.01531,0.01075,0.00302,3.26349,4.50242,2.63143,1.72559,0.0091,0.0091,0.0091
93,313.284,1.97602,3.30047,1.9903,1.41558,0.23241,0.02551,0.03062,0.01402,0.16263,0.01531,0.01075,0.00302,3.26349,4.50242,2.63143,1.72559,0.0092,0.0092,0.0092
94,317.375,2.44165,3.5947,2.34162,1.56519,0.23241,0.02551,0.03062,0.01402,0.16263,0.01531,0.01075,0.00302,3.26349,4.50242,2.63143,1.72559,0.0093,0.0093,0.0093
95,321.152,2.22707,3.2387,2.0477,1.47039,0.23241,0.02551,0.03062,0.01402,0.16263,0.01531,0.01075,0.00302,3.26349,4.50242,2.63143,1.72559,0.0094,0.0094,0.0094
96,325,2.5643,3.13943,2.37626,1.55437,0.07965,0.02041,0.01412,0.00512,0.04655,0.01531,0.01016,0.00307,3.38837,3.68499,2.69078,1.75183,0.0095,0.0095,0.0095
97,329.149,2.04936,2.88037,1.87613,1.34887,0.07965,0.02041,0.01412,0.00512,0.04655,0.01531,0.01016,0.00307,3.38837,3.68499,2.69078,1.75183,0.0096,0.0096,0.0096
98,332.98,2.49488,3.90861,2.61561,1.67508,0.07965,0.02041,0.01412,0.00512,0.04655,0.01531,0.01016,0.00307,3.38837,3.68499,2.69078,1.75183,0.0097,0.0097,0.0097
99,336.705,1.72787,2.45896,1.6507,1.23515,0.07965,0.02041,0.01412,0.00512,0.04655,0.01531,0.01016,0.00307,3.38837,3.68499,2.69078,1.75183,0.0098,0.0098,0.0098
100,340.511,1.80085,2.71553,1.75105,1.24021,0.02167,0.06633,0.01928,0.00966,0.01167,0.03571,0.00946,0.00195,3.40131,3.73689,2.75432,1.77801,0.0099,0.0099,0.0099
101,344.311,2.05517,3.03131,1.86262,1.41373,0.02167,0.06633,0.01928,0.00966,0.01167,0.03571,0.00946,0.00195,3.40131,3.73689,2.75432,1.77801,0.01,0.01,0.01
102,348.088,1.88422,2.897,1.55705,1.19018,0.02167,0.06633,0.01928,0.00966,0.01167,0.03571,0.00946,0.00195,3.40131,3.73689,2.75432,1.77801,0.01,0.01,0.01
103,351.95,2.55927,3.25435,2.18463,1.51355,0.02167,0.06633,0.01928,0.00966,0.01167,0.03571,0.00946,0.00195,3.40131,3.73689,2.75432,1.77801,0.01,0.01,0.01
104,356.011,1.81661,2.85736,1.67279,1.27616,0.22663,0.06122,0.06469,0.03396,0.14009,0.04082,0.04186,0.00971,2.33797,3.48081,2.03321,1.34783,0.01,0.01,0.01
105,359.645,1.99233,2.84061,1.90106,1.36302,0.22663,0.06122,0.06469,0.03396,0.14009,0.04082,0.04186,0.00971,2.33797,3.48081,2.03321,1.34783,0.01,0.01,0.01
106,363.181,2.57901,3.84114,2.37638,1.75908,0.22663,0.06122,0.06469,0.03396,0.14009,0.04082,0.04186,0.00971,2.33797,3.48081,2.03321,1.34783,0.01,0.01,0.01
107,367.111,2.29861,2.89812,1.93214,1.44059,0.22663,0.06122,0.06469,0.03396,0.14009,0.04082,0.04186,0.00971,2.33797,3.48081,2.03321,1.34783,0.01,0.01,0.01
108,370.941,2.17179,2.8624,1.83179,1.33402,0.33176,0.05612,0.06333,0.0349,0.08418,0.04592,0.03637,0.00877,2.41178,3.80761,2.06134,1.42763,0.01,0.01,0.01
109,374.539,2.29649,3.43054,2.23351,1.55888,0.33176,0.05612,0.06333,0.0349,0.08418,0.04592,0.03637,0.00877,2.41178,3.80761,2.06134,1.42763,0.01,0.01,0.01
